ORD,DFW,LAX,ATL,DEN,SFO,IAH,PHX,LAS,SEA,BOS,LGA,JFK,MSP,EWR,DTW,MCO,CLT,BWI,PHL,SLC,MIA,SAN,MDW,DCA,FLL,DAL,HOU,TPA,BNA,STL,PDX,OAK,AUS,CLE,SMF,SJC,SNA,MCI,IAD
39,42,3,2345,3,-17,-16,-20,-5,15,-17,-19,5,234,26,2,-6,1,0,6,61,-8,99,-16,-8,8,-16,-19,-16,-20,-16,1054,-10,35,-17,208,83,11,85,-6
9,-20,2,14,30,44,-17,-18,1137,-15,-18,-19,4,78,-18,25,-5,14,15,-4,-10,80,-12,-2,8,-6,-14,-20,25,2,-8,169,19,45,-9,410,32,-10,40,8
-18,-5,-5,-16,-20,-17,-4,-5,-17,20,-20,-5,-9,1,-7,137,2347,35,-13,-7,-5,-10,108,-12,7,-4,-13,-2,-9,-11,7,142,5,27,10,6,17,25,3,-15
42,13,-12,-15,-15,-19,-18,17,5,52,-14,-6,16,4,-18,-17,-8,154,-7,1,26,2,-15,73,24,31,3,-6,98,-10,5,7,-20,33,-19,-15,150,-19,-8,5
-9,-19,2,-12,-17,10,-20,-16,46,-4,11,-16,2347,348,3,4,-19,-20,-4,-19,-4,-4,131,-15,-20,-11,61,34,59,21,60,2,20,-2,-17,-19,14,-14,-7,-16
-16,5,-3,-11,-13,50,-14,-20,-3,-11,-8,-20,6,135,14,-13,21,-4,-6,10,-20,-20,-13,-5,-13,2342,16,2343,77,150,-13,54,-5,2346,-17,266,-7,2349,2340,2
14,60,17,-16,110,-12,-7,-17,-13,74,-18,17,5,67,-15,-19,-7,-13,63,-1,-16,-3,-19,29,7,74,83,1,87,2,-13,-11,-12,-8,15,66,-15,12,29,-6
41,-2,-3,-4,16,-12,-3,7,24,-18,-5,81,-16,-10,13,-11,52,19,29,-14,-5,-17,-18,7,21,6,-8,2352,30,60,-8,-9,-2,-15,-2,-13,88,-3,2340,-12
25,-19,83,-19,-15,-13,-20,-13,52,133,0,-18,9,-20,2341,139,69,2346,26,-14,57,-8,48,-13,50,-4,-17,-20,-17,29,3,19,-12,-16,-19,-8,30,1,-18,-12
-17,16,-1,-8,0,-11,-11,-13,-16,-19,31,4,107,-15,-2,41,-20,-6,33,-1,-3,-11,-17,-10,-13,2341,11,-6,-6,19,0,-14,33,298,-15,-18,9,39,-3,-4
