ORD,DFW,LAX,ATL,DEN,SFO,IAH,PHX,LAS,SEA,BOS,LGA,JFK,MSP,EWR,DTW,MCO,CLT,BWI,PHL,SLC,MIA,SAN,MDW,DCA,FLL,DAL,HOU,TPA,BNA,STL,PDX,OAK,AUS,CLE,SMF,SJC,SNA,MCI,IAD
-20,2,-11,-4,8,62,17,7,-14,-18,91,42,-7,2,15,-16,2,4,62,327,24,153,52,-20,-17,11,-3,64,-7,7,32,-4,-18,-18,27,16,-5,45,127,5
115,1,-8,100,-18,19,2340,-20,-5,-12,-10,-10,-11,42,-3,-11,72,-20,-9,-20,-5,-17,-1,-19,8,2340,-20,50,8,-2,-18,56,2346,-11,-4,11,15,114,187,73
-18,-14,-8,-17,2342,6,-6,21,8,-18,70,19,-16,-11,23,232,31,-16,-16,103,-15,12,4,-20,99,2,-16,-15,-20,22,-16,-18,9,-20,11,-19,-11,99,40,75
83,-12,21,0,0,-15,56,-11,-6,-20,5,-2,3,-15,124,93,-19,-16,-19,18,55,-19,-6,0,271,-20,4,-14,13,12,-8,-11,70,-16,50,2343,-20,180,100,2349
-20,-1,-16,-13,-9,-9,-5,-20,-12,37,-3,-3,-12,99,-17,-4,24,67,-16,67,80,81,-14,-8,21,-5,-15,51,1,-16,-13,-20,3,5,37,15,-7,90,-5,3
19,-12,-11,-20,-12,59,-16,-12,-17,-13,52,13,-3,15,-9,4,44,-1,3,-9,-16,42,-5,2351,-18,41,13,-10,86,-20,-17,-17,-16,17,62,-15,-1,-20,-14,21
6,3,-15,-7,-13,439,2,-12,25,-7,-10,-17,-9,27,-6,-16,-15,-9,32,293,-20,46,-3,93,1,29,-17,5,4,-5,2,-7,-6,22,-15,-20,-19,-9,2343,-9
0,4,47,68,-6,25,-2,-5,-9,-10,99,-16,104,13,-9,4,1,-8,2340,37,14,46,-16,-8,37,-6,29,20,149,-20,0,-13,8,-7,-6,14,3,16,-1,-7
56,32,-11,-20,-16,-19,-14,21,-19,-18,18,80,8,48,-3,34,50,9,-16,36,-15,23,-3,-19,-16,-20,26,-10,113,-18,-1,-18,-16,-11,2345,9,2358,4,36,56
23,-10,-19,-16,-19,-19,81,54,-7,-2,47,-16,88,-12,-10,-11,-1,55,-15,33,-15,25,1,35,-18,3,-20,22,-15,42,17,404,68,-19,-5,-14,127,-13,-4,57
30,23,-17,101,302,-15,-14,-14,232,-7,58,145,34,15,-1,-1,11,-15,6,-17,21,1,309,5,-19,2345,-12,-19,-16,13,-13,313,-10,35,-14,-18,-19,69,12,4
54,6,-17,-1,-17,-19,-16,-9,-13,-15,48,55,-18,-12,4,-5,2340,-16,192,261,-12,-7,43,50,49,-20,39,-6,-10,-12,66,-20,-19,-13,-16,-20,-15,13,8,223
75,-15,-17,2341,9,-20,-10,-17,-12,1,1,2,-1,-8,-17,3,-16,-10,-12,1,4,-11,6,2348,-13,-10,128,-10,4,-18,-11,65,-1,-10,7,24,-18,-2,-16,-3
2347,84,-10,-20,-15,-9,-10,7,-18,56,27,43,45,141,62,1,32,8,50,177,-9,6,-17,45,10,-9,1,36,-19,34,-16,122,-10,15,32,-16,-18,-7,27,11
-17,-11,-14,-11,-14,88,6,12,-15,33,55,-14,-14,25,61,-10,-20,7,15,-12,94,-18,121,2,64,85,51,-3,-15,-20,-16,-15,4,288,-14,-18,2,36,-20,139
52,19,-9,3,148,-19,-15,-10,-17,-17,89,-1,0,-15,-3,-9,4,70,-14,40,13,-13,76,2,41,-13,76,-9,47,39,-19,-15,0,14,-10,44,3,13,-6,15
2347,0,153,6,-1,27,-15,80,-20,70,98,15,32,61,9,2,-20,-9,15,-19,-14,16,-11,-3,-18,-7,-19,-20,-19,-9,-8,-19,-11,128,-16,-20,-14,143,-18,-11
2349,-19,-16,-18,76,21,-17,2343,-7,-6,21,75,14,4,-12,-15,-15,-17,-19,34,90,-17,42,4,-8,-16,-12,-14,-7,11,-10,1,-17,8,-14,-12,-17,45,23,-20
7,-15,-17,69,9,15,61,-6,-17,-17,79,-15,13,-1,-14,-15,-8,-15,1,65,-12,-13,78,-14,18,-7,-11,-20,-9,3,-18,28,-20,95,102,11,0,114,-17,0
20,-16,-17,33,-20,18,-2,-7,-2,63,64,2,-16,-19,3,36,-10,0,33,47,-18,-11,15,37,-8,-17,40,-5,-18,1,53,-5,2340,15,118,74,37,99,98,91
49,-19,84,-15,-18,5,5,-19,20,-16,19,25,10,62,160,-15,32,28,5,-15,75,-14,99,5,-16,-15,-13,78,3,-17,91,861,-16,-4,22,-13,143,180,8,-5
22,-10,136,13,-8,33,-9,-9,75,35,54,-16,70,2,-14,-7,64,15,-15,36,-13,-5,100,2351,40,-13,31,45,-3,-14,-10,2,-13,50,-6,-20,54,90,3,-18
-20,-19,-16,16,-13,-10,-18,-10,-17,-19,94,22,1,222,-17,13,-18,0,18,-13,58,15,-13,-5,78,-19,7,32,136,-16,22,0,-17,-11,-14,-18,-12,-16,13,67
229,2,-19,-3,-8,-4,-3,-5,10,-8,53,-2,-3,77,3,-12,23,9,28,-15,27,57,-8,2,62,-18,30,7,0,4,30,-20,-9,181,12,8,129,-20,-4,48
-7,38,298,6,-5,21,-9,33,-6,28,21,12,68,21,12,-8,39,3,11,-14,-13,2,-20,13,76,-18,183,35,500,-1,-5,2,84,12,1,247,-14,-15,-15,6
60,-7,14,26,5,-18,-18,-10,2,16,-3,-9,-8,-4,-15,187,-7,29,14,-9,-5,-4,168,-3,17,-7,279,-1,-11,-20,-17,316,-15,42,369,-15,-20,38,-11,11
81,-1,58,-7,-1,61,3,87,-20,43,13,7,-17,69,-12,-9,-3,-9,-19,-20,-1,-12,18,50,-9,20,197,-15,-10,-17,2341,30,22,199,-18,5,2351,20,7,26
-17,-19,-17,25,-15,-3,-14,43,-19,-18,-8,-12,8,-19,-15,-16,-8,-15,0,-12,-20,-17,82,-12,26,-20,-16,-6,-20,-15,0,-20,-5,-2,6,-16,16,-14,58,-5
-13,58,88,-7,-12,-15,-17,-18,-18,15,-17,-20,-8,0,-14,6,12,3,0,-8,-15,-19,-1,-19,-17,2342,-16,-19,-6,133,-19,-6,-15,21,10,2349,20,37,-12,13
-18,1,0,-19,12,-8,17,-20,-11,-15,-4,44,-10,11,-16,-2,-18,-15,65,6,-6,-18,-14,25,226,-18,-18,-17,-17,-16,-11,-11,-17,-20,-15,-8,-2,-10,21,10
16,8,-7,-14,22,-3,6,-20,513,-3,-8,-4,29,117,173,-4,-10,15,-14,2,-20,35,-20,4,14,-12,-4,-10,8,8,-12,-19,-16,89,32,21,-18,-14,139,12
6,148,-7,-15,-15,39,-15,-20,56,-2,60,24,38,42,-6,13,-15,-1,28,-2,29,-3,128,-14,137,-17,-16,2346,141,-8,-14,-11,46,-5,26,59,26,-16,31,-14
-9,-9,24,42,-9,18,10,-14,-20,171,-18,-20,-4,82,-15,17,-11,3,-2,42,11,-3,41,-14,-17,12,-10,-3,362,-19,-18,-18,-6,-6,2348,-14,132,-7,61,35
-4,-4,-11,38,-4,-8,-10,-1,-20,-19,-11,-19,-10,3,-19,-14,4,-17,-9,-9,0,-19,-7,99,-17,-9,-18,-13,-12,-2,-15,52,54,-13,-8,2341,15,-15,-8,2
2,27,-12,-15,8,-6,4,24,2340,-6,2340,60,-12,63,-16,64,2354,103,-13,-13,56,-16,-13,23,-11,23,-2,-20,-9,-5,-15,-19,-16,-6,-18,-17,0,121,-6,-10
82,-20,-18,-18,4,-19,-11,-19,70,105,-11,61,-18,-9,5,4,14,2,82,-18,37,-12,1,19,-20,6,-15,4,49,-18,-17,-16,-14,-19,0,-10,11,-20,-6,10
46,31,-17,12,7,42,45,-14,-16,47,-16,62,-17,-4,-7,-7,-14,-18,-2,20,49,7,-4,-13,-3,17,-13,-10,84,3,-10,4,-20,-19,12,-13,1,-19,61,-20
84,-6,-13,-6,2,-2,-6,-12,12,3,225,-15,-19,-11,12,16,18,-10,2,-2,-10,59,-18,-12,-4,-15,19,-1,-17,-7,-19,-15,-15,5,-11,29,-17,-15,177,-19
89,39,-3,-10,-3,-11,-18,191,-16,-18,29,-9,3,38,3,-10,27,-18,2348,-8,-15,100,130,30,15,-13,-12,-15,-9,-19,10,43,-14,-13,75,-9,-19,-12,-1,-20
2,-4,4,59,12,64,77,-16,-14,-15,-7,12,23,31,4,-17,-7,-20,-20,-15,-4,61,36,27,2343,-20,-12,7,0,-17,9,-10,-18,315,-12,10,853,-14,-20,16
63,64,-5,47,-4,-15,10,-14,5,48,11,78,-12,69,37,24,2344,-16,-6,43,6,149,-17,-16,12,-18,6,-16,-17,49,-4,-4,60,81,-14,-11,34,-19,-18,-20
2,-20,-13,-16,-19,64,6,-18,-15,-10,-16,19,-4,-16,22,-15,-11,-9,-11,0,1,79,41,-17,-18,51,5,-12,-18,-15,21,172,5,-20,-18,3,25,-2,-16,-20
2,19,-15,-17,-17,151,27,-15,-19,1,-20,6,-20,14,13,13,-19,-17,41,-15,-9,-14,-11,-16,-20,-13,498,-13,-15,8,6,-19,26,-14,61,39,-14,0,-9,-16
20,-10,-19,-14,-14,6,-11,-16,-18,-20,58,-5,2342,43,-15,4,-7,43,52,-1,0,220,-14,-12,30,-10,-17,15,64,-12,-12,30,-18,76,-7,-7,-8,21,103,-16
6,-9,29,48,-3,1,-8,-19,-15,60,6,-5,-12,17,35,16,-18,9,-6,-12,3,-19,6,8,-3,-11,-13,-7,19,103,38,95,-18,12,-3,0,2342,77,-4,18
23,-3,-3,47,-4,37,13,-13,-18,46,2351,35,-8,87,3,67,-9,-14,2,-16,-20,-19,194,19,3,-16,2,-16,-8,-20,12,-13,60,-7,30,2,-9,204,-4,-3
37,-1,-17,63,-12,-2,-10,-20,-18,7,22,89,-20,12,-10,1,9,-18,-20,-20,-14,36,23,-19,-16,50,-10,-16,-20,70,-18,-17,43,-15,-15,-15,-15,3,92,-13
-10,57,91,-10,19,1,-15,-19,-20,481,61,-17,-1,-15,11,21,100,-20,90,-20,26,-17,132,111,-15,2343,69,-6,3,11,9,-13,54,117,3,8,-1,-15,286,-9
106,-8,-10,-19,-19,7,-19,-13,-15,-17,3,-20,3,59,-6,74,-19,-12,99,-13,25,-15,-12,81,-6,-14,5,-14,-13,24,-9,22,14,-20,38,59,-5,-14,-17,-16
43,-13,-10,21,5,-5,-18,-18,7,-20,75,90,-11,56,17,-12,10,171,-15,-7,49,4,67,22,-1,-14,1,-17,31,-3,-16,56,-16,9,-9,-14,-10,-20,-11,-3
-9,6,57,18,442,3,-15,11,-12,-13,-17,-9,-13,-18,4,-19,82,-19,-19,55,306,46,-20,32,-18,-15,-12,-16,-13,-18,756,52,-1,2341,-19,2341,-18,41,131,-13
51,0,-20,-18,-13,-8,-19,-15,-16,-5,51,172,43,-17,254,-12,1,-15,-18,8,-16,10,-20,12,-13,12,100,-16,-10,-19,334,21,81,-18,715,-17,92,-1,-16,-19
32,-9,18,-4,6,-8,29,-6,-2,71,12,147,104,24,-7,-16,39,-12,83,15,30,-3,-9,-14,2,91,0,-20,1,-4,-20,5,-18,-16,-5,-10,-12,32,-17,22
-10,117,-9,-12,-1,17,-4,-18,-11,42,36,106,-3,-1,5,16,254,-6,4,1,-14,-7,-15,1,-13,44,-15,-18,29,299,3,-11,58,-19,-13,-13,21,197,4,-19
81,41,-18,-16,-20,-14,12,-18,-17,-7,29,-18,-6,-5,-19,-16,30,10,-11,-14,-14,-1,31,27,-16,-20,42,15,55,195,-18,15,-20,158,-15,29,-20,-18,52,33
-17,17,-20,-19,13,-12,6,-7,-19,-10,360,25,-20,14,18,3,65,-11,-5,-15,-18,-3,-20,9,27,-3,300,-20,-1,399,-12,71,2,38,26,92,28,0,-7,-10
80,22,33,37,35,522,-16,-12,-6,19,20,-2,4,-20,30,-14,-10,-4,3,26,-20,4,-4,56,68,-11,-16,-2,-15,117,-18,-20,-13,1,-17,-20,-18,53,108,-9
50,-14,-7,172,71,-13,4,-15,-20,0,-14,4,26,-20,-9,-8,-15,-10,12,31,53,-5,-16,10,-10,-15,5,1,160,237,23,-17,136,-3,-16,5,19,-15,-2,-8
10,-18,-20,-3,-14,-17,32,-3,-9,45,32,-3,-8,7,41,55,117,14,-18,40,19,2340,-19,58,66,62,-14,-18,27,364,131,2,2,168,-1,17,31,226,77,64
-13,-20,114,-18,90,76,-13,-3,-7,-19,2,-12,-15,-14,27,-17,-11,-19,-15,10,-5,-17,-19,43,-19,-6,-10,-20,2,314,-18,25,-20,-5,4,-16,2,-7,15,-3
10,4,9,-10,-11,-19,8,-16,-2,-11,15,4,-3,-20,-19,-6,-8,-18,16,-14,156,-7,61,-17,36,243,12,23,-8,76,43,13,-10,32,3,19,80,-16,-4,7
-20,21,-11,-20,-19,-17,-18,-6,3,-8,-9,-9,15,-17,-16,-13,26,38,83,39,-3,17,-13,32,3,142,-12,-13,-12,149,43,113,-20,-10,21,-5,-14,334,13,-17
2,43,-17,-17,-19,2340,-12,-20,-20,-17,-14,-3,-6,89,-19,-9,81,77,2344,23,27,-16,-15,-3,6,120,9,16,-2,22,-12,66,-14,100,-9,-15,-16,37,-3,46
26,-16,-13,0,-17,-20,10,-17,-11,-7,-14,-16,-20,157,-15,-15,-18,-11,-12,-20,7,-7,-15,-3,13,-4,19,-15,-9,-10,18,56,75,-16,1,-7,-5,50,-19,8
9,60,-16,-16,-19,-19,-10,-4,-2,-19,-14,26,-10,279,-19,125,-18,-17,2345,-4,2350,7,0,20,-10,-15,-12,2345,-7,162,142,52,7,93,85,39,-9,322,-19,130
-17,8,-19,27,-15,56,-5,2,40,5,-14,4,-6,-7,-14,166,-8,-11,-13,9,-18,2,-14,1,144,125,8,-19,2341,-20,17,21,3,5,50,-19,-6,-18,60,-4
16,12,-20,9,-11,-3,4,-5,-14,5,-11,-14,0,39,-9,-11,-16,40,-13,-13,0,-2,8,33,51,-19,-10,25,2351,60,-20,5,-9,13,35,-10,-19,-19,-18,91
-19,0,-10,134,-6,78,-19,-5,-9,-20,2,60,-7,-7,-6,7,15,5,-15,-5,-11,4,8,44,11,370,-9,15,-10,93,29,-11,-10,-19,-15,-17,-6,-17,-13,5
4,-18,-14,36,-15,3,-6,9,33,-16,-8,27,41,28,-1,65,-16,-19,-12,3,23,-18,-17,12,0,-14,-14,-13,-16,-4,-7,15,50,153,7,-4,-8,-18,0,3
20,11,76,-11,-4,255,-12,-14,-20,8,-19,-17,30,19,13,19,94,-1,-12,122,-7,3,0,21,37,2346,-14,-18,-20,-13,61,71,32,5,0,-20,20,-16,-4,2
33,-14,53,-19,-18,91,-9,-15,-16,-11,3,-14,-15,6,-7,111,2,9,40,170,-15,-5,129,42,30,-14,-13,0,-11,-2,-20,-20,5,-13,0,-16,-11,3,0,63
-11,2341,-18,50,-9,-13,-15,-20,-11,17,56,20,-17,-16,69,34,-18,-3,-9,-18,5,-12,-14,4,55,67,24,3,16,5,2,-2,-1,-19,-12,-19,-20,-9,16,4
-10,7,4,-18,8,6,-6,-15,-7,14,176,2342,-16,26,-11,73,39,-17,21,0,33,20,9,1,196,2358,8,-9,31,-14,-3,12,-18,35,1,158,47,-1,-11,-2
2345,-10,-1,-1,-12,-2,-16,-4,-13,2,25,52,64,60,2340,-11,22,-14,11,56,-13,-17,-12,-8,-20,-3,-17,-16,9,-20,-14,39,-16,-14,-6,132,-18,-15,2344,-16
-4,1,227,-10,-18,13,-17,32,-15,14,27,146,60,31,-6,37,-14,-3,-7,-20,7,8,-13,9,28,-19,-20,-16,9,2342,66,20,19,80,18,116,-15,3,127,331
34,-15,-12,12,-19,21,-19,-15,15,2342,10,-14,21,6,-8,-1,-6,-12,-10,15,21,-18,-9,22,-11,-17,-18,5,-19,-14,-12,-18,-10,-8,-18,4,48,33,95,-8
84,0,4,-13,2,-20,-5,-15,316,-20,-17,-15,-9,48,46,2,-20,66,-15,36,2341,-14,-14,-2,8,-15,7,-20,3,2345,-20,-17,27,-17,7,-5,-5,15,84,-9
33,2344,-18,-10,-17,-20,-1,274,-16,-11,16,-19,64,-16,64,44,15,23,-13,-1,-9,25,-10,-4,73,-14,53,-16,17,4,-15,-10,17,-13,77,-18,134,11,184,77
17,-12,-20,-15,6,6,-8,164,-19,80,-3,46,14,10,-15,-20,-8,14,-1,9,76,-14,-10,-7,-16,-18,-6,85,20,6,2,688,145,-12,-8,-20,-12,-2,6,31
9,57,11,-14,-13,8,-13,-18,-20,-18,81,-16,-5,-11,30,80,-8,-7,-4,14,-17,-19,-13,0,-14,-12,-18,-11,-11,-10,5,4,11,-12,-15,-18,15,27,55,-11
5,36,11,26,11,18,-14,-18,10,-1,44,-14,5,14,-20,-16,-18,4,-17,-13,-14,1,-17,72,14,57,103,-7,-14,3,-17,-13,6,-2,22,20,-18,51,-13,62
-5,-18,24,23,-13,12,-3,-20,-20,71,60,-16,2,-14,28,-1,-12,-10,68,218,27,19,-17,176,-5,-2,-9,-17,2,19,-15,267,-18,29,-12,25,-14,-19,-16,67
64,-16,-18,-15,-19,14,273,-11,-19,-13,6,-4,-11,-2,18,192,9,1,-19,1,15,2341,-17,84,-15,-18,-20,-10,-13,-6,-19,-14,-18,-19,92,44,-20,113,-9,-14
2354,-5,-20,-18,-14,50,-13,-14,0,-11,54,5,22,23,-16,-10,-19,-17,0,42,34,-13,-11,-10,11,3,-14,34,48,-8,-11,-18,-19,-4,49,54,-16,16,-9,-20
23,6,-14,103,29,61,-8,-18,-12,28,81,58,-7,52,-12,-12,43,-7,-8,-15,60,-6,0,-17,32,17,-17,73,46,-17,138,29,-18,-17,89,-19,8,-7,-17,29
-1,-3,-12,-2,-2,13,-13,-20,7,27,30,-19,-17,74,-4,72,46,-20,339,153,23,-14,-7,28,-20,25,9,21,-2,9,150,13,-19,-18,3,-6,41,286,109,53
26,3,-17,-15,18,209,406,-7,-6,16,-20,-12,-2,-20,10,-16,48,-13,9,-3,110,98,-20,3,-13,13,-17,2344,101,-18,102,12,-18,-17,-12,2,10,5,-16,48
13,-9,-17,80,4,-11,88,-16,-18,7,-19,-15,22,-18,-17,-15,81,-18,44,9,5,0,-16,-6,-19,22,-8,-8,-8,2353,-8,91,-12,-13,-7,17,-7,107,213,-17
-18,-9,-10,20,-4,10,136,-17,-12,-8,-19,-3,2,19,119,-15,20,-2,46,-1,-18,19,9,51,-11,2341,-19,-11,-4,-14,-11,-7,-20,-14,-1,-12,-18,-20,-17,-15
-15,-14,50,-18,2341,120,16,-15,10,28,4,23,23,31,-3,48,-13,-3,6,-6,18,-15,-12,81,-6,2344,-16,55,164,-11,149,-1,-12,-7,-14,14,-11,7,119,-20
59,-16,51,8,89,209,-12,-18,26,-6,-17,-17,-3,-13,-12,0,8,17,-15,-14,-20,-20,-13,73,-19,-20,-3,2347,-18,-1,82,-18,-20,-16,-9,-6,-6,-19,57,-7
2347,-19,-8,-1,-10,2,-19,-12,7,26,-15,-14,-8,-13,-16,71,36,2346,-20,-12,-2,42,34,-17,-17,-7,-19,2,-15,-1,-374,34,-18,-16,14,94,-10,-19,-15,-12
-7,21,-16,75,-17,-7,14,-20,-8,22,29,12,144,-3,-12,30,89,-7,72,-17,-20,-17,24,87,5,-1,9,2,186,-19,39,-19,68,-17,149,8,-11,175,37,-5
2,-10,19,35,6,100,-13,7,-4,-14,-13,-8,85,-1,79,176,-6,35,24,13,49,74,109,-6,113,-15,1,-18,-18,15,-20,123,-12,0,-19,-19,22,9,-12,-19
-12,-17,31,10,-14,52,72,-15,17,-19,16,-17,-11,-19,-3,-13,48,16,-8,-10,51,-4,34,-6,6,53,-12,-17,48,-17,-14,7,-9,-20,19,-11,-4,193,18,-18
208,63,-18,-2,26,-16,129,-1,-14,2341,0,8,5,-16,2,-18,99,144,-18,-16,3,-7,-12,-13,1,105,-19,-19,-20,-20,17,-7,-15,-17,0,-13,0,-1,307,-3
-7,72,3,-4,47,186,-18,-4,-13,-3,-17,-4,-18,-14,417,69,-11,59,-20,-16,-18,-9,-2,-1,57,60,7,6,-9,-2,1,31,-16,10,-20,-14,49,10,1,2345
8,-13,50,-7,-10,101,-17,-18,-1,-7,-19,32,0,41,-19,-20,2340,-1,-1,-10,51,-15,-15,-15,11,3,-8,36,-8,1,-11,23,110,-20,5,-17,13,76,113,12
-7,-19,2,19,-18,-14,2,-9,-19,-8,-2,-15,93,19,63,37,-16,28,-17,-19,174,-16,18,2358,8,-17,24,-20,75,27,138,217,17,62,43,-9,7,1,-2,47
1,5,-16,0,-18,97,-8,18,-17,-9,-11,-15,59,12,-15,0,10,-8,-6,-8,-4,29,-17,20,-18,5,-9,-3,-17,100,150,31,-7,-7,32,-1,41,-9,112,-10
-11,4,-17,-16,7,18,-14,-17,-12,-14,-2,-14,-8,8,7,1,-1,34,95,-20,20,-17,-18,-8,-4,-19,-1,-1,12,-19,102,-18,-19,-13,19,62,5,-4,-1,-11
212,81,-2,25,90,83,-6,-17,-6,25,-14,-17,65,14,2,-13,35,17,57,27,-11,34,63,7,139,2340,-15,7,144,-12,-8,-7,-16,109,22,33,-11,155,18,20
19,23,-12,-9,-10,119,-18,-13,-3,77,-20,-11,9,-13,12,95,42,129,47,4,-11,-14,-16,-6,-13,-9,-12,-15,-1,-20,-11,17,-9,134,-16,-13,19,181,18,6
18,37,5,58,-17,78,-14,11,-17,55,34,22,-19,65,-16,65,81,25,61,183,-19,-14,36,3,131,-16,3,9,69,-1,149,-11,-5,-9,1,-18,23,107,-17,16
92,-13,-9,6,33,58,-11,-17,-19,30,-5,45,14,-19,156,-19,98,67,-11,-19,1,-8,15,-1,-16,2342,-9,-13,103,-19,82,-15,-14,-3,-11,5,8,48,-20,57
16,19,-5,25,-16,-17,43,-4,43,-13,-9,36,-7,62,-10,-18,-13,64,3,121,-18,279,-5,-3,14,-18,-19,99,-5,-20,-20,23,19,346,-18,1,-18,60,-14,10
-15,-14,47,-11,-19,47,31,12,253,3,-16,-14,1658,168,-8,-14,57,25,-2,-13,-5,26,-16,-9,20,-5,-19,26,46,198,2344,86,-13,-11,43,-3,84,-9,-19,54
87,-7,50,42,-11,23,56,17,35,7,-16,1,11,-7,-19,74,65,19,38,10,-11,-6,27,-16,2,-14,-20,-4,11,3,-13,-212,-19,-7,36,11,57,-18,-5,17
10,-17,-4,-20,-1,96,-12,-4,162,-18,-20,59,0,-18,262,18,-17,45,-13,-15,143,-2,-12,3,118,53,-18,26,-12,57,-20,-14,-17,-16,87,53,2341,-13,85,-1
5,-11,41,-17,8,64,-11,-15,-8,-17,-13,-10,60,22,199,182,8,16,-12,-7,42,-12,-7,-17,11,-6,-20,285,28,42,20,0,-18,29,-6,399,-20,47,-20,-8
23,-17,-11,-14,3,21,-16,21,21,-1,165,-19,46,-16,-2,-3,17,-8,2342,-19,-11,-18,14,53,-20,8,-18,61,18,19,117,-12,-12,1,74,-8,25,204,107,44
26,-14,-15,-20,-18,30,-15,-4,-16,27,-7,-19,3,-9,95,-17,-13,-19,-20,-17,-17,39,-9,-7,15,-11,-11,-17,-5,-2,-3,-14,43,-7,-14,-12,-17,-12,10,16
10,-9,-16,-8,15,52,12,-19,-15,7,86,-16,25,-16,-5,28,-20,1,-19,9,-20,113,-2,-5,3,12,-20,-9,222,9,75,-14,61,-17,17,-4,-4,-19,51,23
122,-18,1,-18,-16,71,7,24,-13,126,-19,-20,114,-17,13,68,-11,-3,19,-3,-14,-17,-19,-6,-8,201,-18,8,150,11,-5,12,-13,105,153,3,33,2,-6,76
1,-12,49,-20,19,136,2,-10,-15,-13,-11,-6,19,-3,-12,-14,186,15,-13,20,9,-17,-19,230,104,2349,-10,6,-6,-19,-13,-17,-10,62,2,-8,2,1,279,-18
44,-7,-2,0,-12,71,-15,15,-17,31,7,6,17,-19,-12,184,-9,-19,-17,0,-14,-2,-20,-2,-19,2342,-16,89,-16,17,-19,-5,49,-19,88,85,92,-10,10,-10
49,-5,-12,-7,5,31,-1,20,113,21,-3,2,131,-17,8,135,-9,6,-20,-14,-8,7,-20,8,111,2341,-8,2342,-9,17,224,-8,-13,-19,-20,1,33,-15,72,-17
-12,142,-10,-5,109,20,5,-14,2,37,0,15,217,-11,39,-14,2,-16,3,-2,16,-14,-16,-10,-13,-19,-14,2345,30,-9,128,-13,97,-4,-15,2340,-13,243,-18,-2
-8,140,-20,-19,-19,24,-17,74,-1,57,5,-7,7,-11,-2,44,23,-8,-17,-8,-16,-9,97,-4,-5,2341,-10,25,89,-17,-16,-8,-12,128,-10,-6,23,5,-13,2
142,-17,-11,-12,83,72,-11,32,-15,78,-19,48,29,13,86,6,-8,-16,-20,10,81,8,-15,-4,301,-12,-20,-10,-11,-17,0,-18,-20,155,-3,13,-9,-18,-18,-9
-19,-9,-20,-15,-20,-4,-12,1,70,101,-3,-15,0,-10,-11,165,46,-9,-12,5,15,-6,-13,-13,-12,74,-19,2340,-18,-6,8,2341,186,-18,434,-14,-11,91,-18,-10
21,-17,114,-14,4,23,-13,24,48,-5,-19,-17,74,-2,-14,-20,25,-14,-3,75,-18,2341,3,-15,18,209,13,1,13,0,-5,37,22,-1,-15,2,-3,14,-20,-4
27,-13,0,21,9,-3,35,158,4,283,11,86,-2,-12,-11,-6,-19,61,19,-19,72,-6,-19,0,-16,-7,-12,-15,-4,-19,2,-15,-20,-2,4,-20,-4,579,27,-20
-20,-12,73,-18,-16,-15,-6,-10,-17,-14,184,105,27,-12,-16,187,213,52,-18,-3,21,-18,173,-18,16,66,1,-11,-15,12,103,6,-18,-2,-19,2,7,59,55,-13
22,4,21,-2,-4,34,-2,-19,-14,-14,-18,2346,0,2,-5,-1,39,-20,-9,221,7,-14,-4,13,-9,-3,-7,-13,-15,-7,-9,-17,-7,-16,2340,64,231,7,7,28
751,16,-7,-18,44,12,-3,-20,89,-15,-16,101,41,-7,-10,2,25,-2,-13,-3,-20,268,-10,-3,-15,-15,-15,-10,72,-12,-7,-11,-17,0,43,-5,-15,50,20,372
-15,2343,-17,-20,-17,363,-20,6,-19,82,-16,-14,-8,-13,24,-19,101,-17,294,-10,17,-9,97,11,-17,-15,-14,-18,354,16,3,-15,-14,-10,-3,-7,10,4,88,19
118,21,238,-3,-16,2,11,-19,147,31,12,-6,90,-1,18,-14,223,2340,-4,-5,4,-1,-12,12,-20,177,-12,-9,76,-19,-3,-17,-16,-15,36,-4,81,2,-6,-6
-6,-14,-20,69,45,-6,-11,-10,269,-3,-11,39,14,5,-11,-16,-10,-17,-19,23,16,-15,12,-6,-10,37,16,-19,-17,9,6,40,-20,-15,144,-4,-14,-16,1,12
-7,-3,59,4,18,48,91,-17,-16,-14,-16,1,37,-16,-20,-16,32,-1,20,8,-18,-15,8,-1,-16,16,-2,499,46,18,78,13,16,-7,-16,23,94,-7,11,-3
132,75,-17,14,-16,-16,12,-3,-17,29,14,26,4,175,-3,-16,-18,-5,-15,22,19,-20,7,1,10,89,10,93,-5,218,-2,86,-20,-8,100,-18,-20,-16,83,-7
15,18,76,-9,-11,162,10,-16,4,-4,-19,9,20,-17,89,-2,66,-2,-9,129,-14,-8,5,-15,7,-7,-20,-13,2345,-16,-19,-19,-15,-19,11,-19,93,-17,22,-15
-13,2,-15,89,-18,-16,-12,-19,86,15,-11,20,19,0,-15,-19,70,-2,2347,30,-5,-19,26,15,2,-5,-19,-16,116,302,30,133,22,-18,15,-16,23,175,51,177
77,2,-19,94,-8,15,32,-15,21,75,-7,39,20,37,15,-20,-20,-15,-4,-12,81,11,-18,2,8,10,-12,2,30,43,-16,76,398,-14,-15,-17,-20,-15,-15,36
100,-11,0,-16,5,20,-14,-9,135,19,-19,-17,12,-11,20,8,2,4,-20,107,-17,-11,-9,21,10,54,-18,4,11,-20,49,126,-19,-18,10,9,16,145,118,-20
